ID,Coordinates,500,1000,1500,2000,2500,500,1000,1500,2000,2500,500,1000,1500,2000,2500,50,100,150,200,250,500,1000,1500,2000,2500
135,"40.8208, -73.937",4,9,12,18,26,1717,7169,14225,23592,32720,259.696,1296.19,3658,7462.31,11895.3,2,14,11,18,18,160,800,3181,5854,7571
136,"40.7549, -73.8916",2,5,8,12,14,889,3874,11305,24549,36012,260.054,2177.75,8716.52,15547.9,21623.6,2,0,6,9,9,80,480,1306,2052,3839
137,"40.6788, -73.9532",2,6,6,13,23,773,2780,8230,13198,22455,264.637,815.482,1737.89,3451.76,5994.29,9,9,20,22,41,201,697,2082,3719,5838
138,"40.8534, -73.9341",2,3,4,11,16,431,1179,3343,9082,13858,269.03,776.53,1261.02,1802.6,2534.42,0,7,14,27,29,463,1133,1917,2706,3704
139,"40.6805, -73.9616",3,4,6,15,23,1147,3786,8187,14412,27405,274.387,1106.69,3170.11,5574.79,8576.83,0,1,8,18,25,204,949,2971,4698,6336
140,"40.6937, -73.9316",3,4,6,12,26,971,4408,9012,19023,27551,277.077,759.435,1565.93,2899.64,4780.31,3,2,459,465,469,759,1308,2447,4396,5290
141,"40.6732, -73.9992",3,5,6,13,15,2189,7602,16259,32182,37321,284.476,864.173,1700.92,2890.8,5690.88,11,9,12,25,33,146,604,1442,2581,5656
142,"40.805, -73.9232",3,5,8,10,16,1944,9382,20864,34051,48887,291.875,2643.48,4907.26,7719.04,11169.7,2,13,11,13,49,57,282,1276,2668,4353
143,"40.8221, -73.9402",4,7,12,17,23,1443,5907,12230,21193,29851,299.756,1535.21,4341.55,7355.59,11187,3,1,21,107,127,311,1694,3501,5611,7640
144,"40.726, -73.8981",1,1,2,3,4,428,2174,11953,24910,37586,317.768,742.839,1436.79,2579.01,4830.76,0,3,0,2,6,18,44,186,583,1843
145,"40.8299, -73.9405",2,4,11,18,21,1572,3913,8387,16403,23832,322.5,1857.68,3448.66,5310.57,7516.73,0,3,3,42,72,450,1983,3412,4504,6437
146,"40.7137, -73.9334",1,3,8,14,21,2847,8282,20860,36450,53495,325.22,1039.36,4433.4,7799.7,12729.4,1,2,4,4,6,32,410,2419,4598,7229
147,"40.6972, -73.9329",4,5,7,14,28,1608,5283,12594,20290,30848,336.381,960.81,1906.82,3557.39,6578.96,5,1,28,58,139,223,1588,2920,4265,6235
148,"40.6742, -74.0004",4,4,5,12,14,2209,7219,17909,32102,36528,336.946,878.869,1671.7,2972.82,5798.63,0,0,11,24,34,140,491,1335,2544,5702
149,"40.8107, -73.9278",3,8,13,14,19,3044,9762,17566,32026,47925,348.869,1576.52,4750.62,8085.78,12228.8,14,0,21,24,40,83,296,1829,4229,5932
150,"40.6977, -73.933",4,6,7,14,28,1722,5283,12899,20215,30973,348.97,970.298,1910.4,3587.39,6995.76,1,9,28,46,139,209,1477,2941,4311,6391
151,"40.8154, -73.9287",3,9,14,17,24,2134,8805,18664,28433,48036,352.315,1139.51,2859.05,6888.45,11784.1,0,0,3,4,6,80,412,2186,4591,7006
152,"40.8073, -73.9242",4,7,10,13,16,2537,8270,20915,35065,47577,369.524,2349.51,4774.78,7603.57,11193.2,2,0,2,3,7,81,241,1376,3047,5002
153,"40.6751, -74.0004",4,4,5,11,14,2064,7079,18098,32318,36546,372.696,936.429,1802.71,3169.24,6084.68,1,0,18,28,30,147,547,1414,2643,5930
154,"40.7018, -73.9374",2,6,13,17,23,1624,7156,14241,22490,33875,377.946,1283.18,2690.58,6540.38,12137.3,1,18,1,2,2,207,1528,3097,5565,7598
155,"40.8274, -73.9427",2,7,9,16,21,624,4003,8905,16438,22988,378.821,2251.2,3957.21,5958.52,8404.1,0,104,4,10,141,891,2144,3352,4491,6817
156,"40.6984, -73.9342",4,6,7,17,27,1998,5730,13329,20410,32853,379.738,1034.26,1984.22,3947.24,8617.63,0,0,3,87,115,195,1802,2970,4511,6706
157,"40.7001, -73.9474",1,6,15,21,28,2697,7120,12291,23140,32412,393.208,1724.07,5041.99,9628.83,13534,4,10,9,9,24,499,1408,2654,6281,8689
158,"40.8392, -73.9374",1,5,10,12,19,474,3167,6640,10726,17553,399.06,1374.64,2523.98,3643.56,4928.48,0,4,0,3,7,193,1344,2484,4565,5712
159,"40.678, -73.9827",3,4,5,10,15,1929,5384,10032,16829,28301,428.696,2055.59,4243.17,7288.45,10674,2,64,28,46,164,376,1800,4052,6382,7639
160,"40.681, -73.9836",4,4,4,9,14,1724,5785,10108,16946,30252,439.905,2412.97,5118.7,9146.55,11538.4,0,6,2,64,77,244,2295,4746,6296,7907
161,"40.6772, -74.0025",3,4,5,9,13,891,6768,17303,24196,34808,446.56,938.762,1755.3,3210.33,6178.52,0,18,0,7,11,72,524,1155,2608,5895
162,"40.7047, -73.9502",2,5,13,22,23,2024,5819,11734,23730,32472,453.518,3463.33,7851.09,11437.9,14854.7,0,8,68,326,336,541,1875,4215,6395,8885
163,"40.7334, -73.9522",4,5,5,7,9,1596,12068,21203,30503,42134,456.006,2554.52,5450.06,18168.3,58015,0,0,2,2,35,145,474,1616,3729,8098
